projName, bugType, bugNo
Activiti.activiti, add_delete_exception, 3
Alluxio.alluxio, add_delete_exception, 1
antlr.antlr4, add_delete_exception, 0
apache.hadoop, add_delete_exception, 1
Bukkit.Bukkit, add_delete_exception, 2
checkstyle.checkstyle, add_delete_exception, 0
cucumber.cucumber-jvm, add_delete_exception, 0
dropwizard.dropwizard, add_delete_exception, 0
eclipse.vert.x, add_delete_exception, 2
gephi.gephi, add_delete_exception, 2
junit-team.junit, add_delete_exception, 0
libgdx.libgdx, add_delete_exception, 5
naver.pinpoint, add_delete_exception, 2
netty.netty, add_delete_exception, 1
openhab.openhab, add_delete_exception, 0
roboguice.roboguice, add_delete_exception, 0
square.otto, add_delete_exception, 2
wildfly.wildfly, add_delete_exception, 1
xetorthio.jedis, add_delete_exception, 1
zxing.zxing, add_delete_exception, 0
