Project Name,Database,,SonarQube Detected,,Matched,
,Merge If,Exception,Merge If,Exception,Merge If,Exception
Activiti.Activiti,9,0,9,23,2,0
CymChad.BaseRecyclerViewAdapterHelper,2,0,4,8,0,0
JakeWharton.ActionBarSherlock,0,0,6,6,0,0
JakeWharton.butterknife,0,0,3,7,0,0
JetBrains.intellij-community,123,39,Can not run,,,
JetBrains.kotlin,3,0,7,11,0,0
LMAX-Exchange.disruptor,0,0,2,4,0,0
MyCATApache.Mycat-Server,0,0,5,7,0,0
OpenGenus.cosmos,0,0,1,3,0,0
PhilJay.MPAndroidChart,1,0,4,7,0,0
ReactiveX.RxAndroid,1,0,8,12,0,0
ReactiveX.RxJava,1,0,4,9,0,0
Tencent.tinker,0,0,2,2,0,0
TheAlgorithms.Java,0,0,4,5,0,0
afollestad.material-dialogs,3,0,11,14,0,0
airbnb.lottie-android,0,0,2,4,0,0
alibaba.canal,5,2,18,8,1,0
alibaba.druid,5,3,40,55,2,0
alibaba.dubbo,5,0,23,29,2,0
alibaba.fastjson,2,0,10,38,2,0
android.platform_frameworks_base,13,18,Can not run,,,
apache.flink,5,5,17,36,0,0
apache.incubator-dubbo,5,0,13,12,0,0
apache.kafka,3,0,4,3,0,0
apache.storm,1,1,5,7,0,0
deeplearning4j.deeplearning4j,20,1,29,56,0,0
elastic.elasticsearch,10,5,16,25,0,0
facebook.react-native,0,0,11,14,0,0
firebase.quickstart-android,0,0,5,4,0,0
google.ExoPlayer,13,1,15,11,0,0
google.flexbox-layout,0,0,7,7,0,0
libgdx.libgdx,6,0,8,14,1,0
netty.netty,12,3,46,9,1,0
spring-projects.spring-boot,3,0,5,7,0,1
spring-projects.spring-framework,6,1,21,23,1,0
zxing.zxing,3,0,4,5,0,0
